CopiedTimestamp,SourceFile,DestinationFile,FileSize,SourceFileSha1,DeferredCopy,CreatedOnUtc,ModifiedOnUtc,LastAccessedOnUtc,CopyDuration
2021-09-15 06:24:13.4939337,C:\Windows\prefetch\010EDITOR.EXE-B4E617AE.pf,C:\Users\FLAREuser\Desktop\Target\C\Windows\prefetch\010EDITOR.EXE-B4E617AE.pf,7923,C0CE7A13C3BFB9C99433EB0E5BEF8F316B5CAD44,False,2021-09-14 09:54:16.4781153,2021-09-14 09:54:16.4781153,2021-09-15 06:18:20.1848255,00:00:00.0161773
2021-09-15 06:24:13.6810840,C:\Windows\prefetch\010EDITORWIN64INSTALLER902.EX-97D8C726.pf,C:\Users\FLAREuser\Desktop\Target\C\Windows\prefetch\010EDITORWIN64INSTALLER902.EX-97D8C726.pf,5561,7DB8B1FFC48A244A9993E74CF96BD3EDB9F6AFF0,False,2019-07-23 23:21:10.2666279,2019-07-23 23:21:10.2666279,2021-09-15 06:18:20.4187986,00:00:00
2021-09-15 06:24:13.7123740,C:\Windows\prefetch\010EDITORWIN64INSTALLER902.TM-5B4A9F80.pf,C:\Users\FLAREuser\Desktop\Target\C\Windows\prefetch\010EDITORWIN64INSTALLER902.TM-5B4A9F80.pf,40574,3ECDEF119D6869A690ACF94763B1EA49642AB296,False,2019-07-23 23:21:10.2666279,2019-07-23 23:21:10.2666279,2021-09-15 06:18:20.4363376,00:00:00.0156417
2021-09-15 06:24:13.7280147,C:\Windows\prefetch\1CBC6374-C675-41E2-B0EE-5D65D-75B550B7.pf,C:\Users\FLAREuser\Desktop\Target\C\Windows\prefetch\1CBC6374-C675-41E2-B0EE-5D65D-75B550B7.pf,1666,894C33F10BC45D252EFDA55621F63E6A14AE1B23,False,2019-07-23 23:29:25.1421461,2019-07-23 23:29:25.1572539,2021-09-15 06:18:20.4832560,00:00:00
2021-09-15 06:24:13.7593347,C:\Windows\prefetch\7Z.EXE-773F57BE.pf,C:\Users\FLAREuser\Desktop\Target\C\Windows\prefetch\7Z.EXE-773F57BE.pf,98904,27657B6BD2B376F258EBA953F0050A6D29E40BB1,False,2019-07-23 22:16:10.9446597,2020-09-22 11:41:53.7750927,2021-09-15 06:18:20.5290666,00:00:00
2021-09-15 06:24:13.7906042,C:\Windows\prefetch\7ZA.EXE-0C448DA4.pf,C:\Users\FLAREuser\Desktop\Target\C\Windows\prefetch\7ZA.EXE-0C448DA4.pf,10271,E442347572159FF48616F41758838FCD8B0CC4F4,False,2019-07-23 21:56:32.5258167,2019-07-23 21:56:32.5258167,2021-09-15 06:18:20.5447473,00:00:00
2021-09-15 06:24:13.8224399,C:\Windows\prefetch\7ZIP.FLAREINSTALL.EXE-09193FC5.pf,C:\Users\FLAREuser\Desktop\Target\C\Windows\prefetch\7ZIP.FLAREINSTALL.EXE-09193FC5.pf,10290,C4489B8EEB9C702C2FBE9F2CCD2054FACED17614,False,2020-09-22 11:22:36.4167399,2020-09-22 11:22:36.4167399,2021-09-15 06:18:20.5750086,00:00:00.0162144
2021-09-15 06:24:13.8370707,C:\Windows\prefetch\7ZIP.FLAREINSTALL.EXE-21DD9995.pf,C:\Users\FLAREuser\Desktop\Target\C\Windows\prefetch\7ZIP.FLAREINSTALL.EXE-21DD9995.pf,10025,B18EDF60587D01A4D580C8DFD8A913F14B6A7E40,False,2019-07-23 23:29:52.5947103,2019-07-23 23:29:52.5947103,2021-09-15 06:18:20.5750086,00:00:00
2021-09-15 06:24:13.8526881,C:\Windows\prefetch\AM_BASE.EXE-808FC880.pf,C:\Users\FLAREuser\Desktop\Target\C\Windows\prefetch\AM_BASE.EXE-808FC880.pf,2316,2F082612CCEEE2FBF435D2035A288EA8D3B154CC,False,2019-07-23 19:38:31.2255263,2019-07-23 19:38:31.2409136,2021-09-15 06:18:20.6062344,00:00:00
2021-09-15 06:24:13.8683332,C:\Windows\prefetch\AM_DELTA.EXE-B7261F63.pf,C:\Users\FLAREuser\Desktop\Target\C\Windows\prefetch\AM_DELTA.EXE-B7261F63.pf,2203,F63D6BD37468F5948095880FAF788A3AC1C062B6,False,2019-07-23 19:38:41.6315439,2019-07-23 19:38:41.6315439,2021-09-15 06:18:20.6224255,00:00:00
2021-09-15 06:24:13.8839716,C:\Windows\prefetch\AM_DELTA_PATCH_1.299.306.0.EX-9CB51789.pf,C:\Users\FLAREuser\Desktop\Target\C\Windows\prefetch\AM_DELTA_PATCH_1.299.306.0.EX-9CB51789.pf,2264,0822E9DB5B1796DF1B6837CDF2801F0092A2670B,False,2019-07-23 20:23:12.3730874,2019-07-23 20:23:12.3882661,2021-09-15 06:18:20.7781097,00:00:00
2021-09-15 06:24:13.8996395,C:\Windows\prefetch\AM_DELTA_PATCH_1.299.312.0.EX-6F5BAD22.pf,C:\Users\FLAREuser\Desktop\Target\C\Windows\prefetch\AM_DELTA_PATCH_1.299.312.0.EX-6F5BAD22.pf,2125,07134A7DEF1A8E82E2171F553A46622043023EA3,False,2019-07-23 21:42:33.9990927,2019-07-23 21:42:33.9990927,2021-09-15 06:18:20.7950678,00:00:00
2021-09-15 06:24:13.9152806,C:\Windows\prefetch\AM_ENGINE.EXE-69ACF71F.pf,C:\Users\FLAREuser\Desktop\Target\C\Windows\prefetch\AM_ENGINE.EXE-69ACF71F.pf,2263,7EF646F417CB501992B1A8581611DB0064BE5036,False,2019-07-23 19:38:03.0376248,2019-07-23 19:38:03.0376248,2021-09-15 06:18:20.8255183,00:00:00
2021-09-15 06:24:13.9623508,C:\Windows\prefetch\APPLICATIONFRAMEHOST.EXE-CCEEF759.pf,C:\Users\FLAREuser\Desktop\Target\C\Windows\prefetch\APPLICATIONFRAMEHOST.EXE-CCEEF759.pf,13025,B4C463BAB2F7C81026D2FDE730FC4EB4050C400D,False,2019-07-23 19:08:45.1186566,2021-09-15 06:05:34.9491464,2021-09-15 06:05:34.9491464,00:00:00
2021-09-15 06:24:14.0090864,C:\Windows\prefetch\APPVERIF.EXE-D15ABD75.pf,C:\Users\FLAREuser\Desktop\Target\C\Windows\prefetch\APPVERIF.EXE-D15ABD75.pf,5264,8F7085770C05EEB011A44C99B181357197DADFBB,False,2019-07-23 22:26:44.4491620,2019-07-23 22:26:44.6212075,2021-09-15 06:18:20.8723646,00:00:00
