SourceFile,SourceFileSha1,Reason
C:\Windows\System32\winevt\logs\Microsoft-Windows-Application-Experience%4Program-Inventory.evtx,036FD2B13DE53227E4EFFE7EC975E96DCA0986CA,Deduped
C:\Windows\System32\winevt\logs\Microsoft-Windows-Application-Experience%4Steps-Recorder.evtx,036FD2B13DE53227E4EFFE7EC975E96DCA0986CA,Deduped
C:\Windows\System32\winevt\logs\Microsoft-Windows-MUI%4Admin.evtx,036FD2B13DE53227E4EFFE7EC975E96DCA0986CA,Deduped
C:\Windows\System32\winevt\logs\Microsoft-Windows-RestartManager%4Operational.evtx,036FD2B13DE53227E4EFFE7EC975E96DCA0986CA,Deduped
C:\Windows\System32\winevt\logs\Microsoft-Windows-Security-Mitigations%4UserMode.evtx,036FD2B13DE53227E4EFFE7EC975E96DCA0986CA,Deduped
C:\Windows\System32\winevt\logs\Microsoft-Windows-SMBWitnessClient%4Informational.evtx,036FD2B13DE53227E4EFFE7EC975E96DCA0986CA,Deduped
C:\Windows\System32\winevt\logs\OpenSSH%4Admin.evtx,036FD2B13DE53227E4EFFE7EC975E96DCA0986CA,Deduped
C:\Windows\System32\winevt\logs\HardwareEvents.evtx,036FD2B13DE53227E4EFFE7EC975E96DCA0986CA,Deduped
C:\Windows\System32\winevt\logs\Internet Explorer.evtx,036FD2B13DE53227E4EFFE7EC975E96DCA0986CA,Deduped
C:\Windows\System32\winevt\logs\Key Management Service.evtx,036FD2B13DE53227E4EFFE7EC975E96DCA0986CA,Deduped
C:\Windows\System32\winevt\logs\Microsoft-Windows-Application-Experience%4Program-Compatibility-Assistant.evtx,036FD2B13DE53227E4EFFE7EC975E96DCA0986CA,Deduped
C:\Windows\System32\winevt\logs\Microsoft-Windows-AppXDeploymentServer%4Restricted.evtx,036FD2B13DE53227E4EFFE7EC975E96DCA0986CA,Deduped
C:\Windows\System32\winevt\logs\Microsoft-Windows-Crypto-DPAPI%4BackUpKeySvc.evtx,036FD2B13DE53227E4EFFE7EC975E96DCA0986CA,Deduped
C:\Windows\System32\winevt\logs\Microsoft-Windows-FileHistory-Core%4WHC.evtx,036FD2B13DE53227E4EFFE7EC975E96DCA0986CA,Deduped
C:\Windows\System32\winevt\logs\Microsoft-Windows-HotspotAuth%4Operational.evtx,036FD2B13DE53227E4EFFE7EC975E96DCA0986CA,Deduped
C:\Windows\System32\winevt\logs\Microsoft-Windows-Kernel-Power%4Thermal-Operational.evtx,036FD2B13DE53227E4EFFE7EC975E96DCA0986CA,Deduped
C:\Windows\System32\winevt\logs\Microsoft-Windows-Kernel-StoreMgr%4Operational.evtx,036FD2B13DE53227E4EFFE7EC975E96DCA0986CA,Deduped
C:\Windows\System32\winevt\logs\Microsoft-Windows-Kernel-WHEA%4Errors.evtx,036FD2B13DE53227E4EFFE7EC975E96DCA0986CA,Deduped
C:\Windows\System32\winevt\logs\Microsoft-Windows-PowerShell%4Admin.evtx,036FD2B13DE53227E4EFFE7EC975E96DCA0986CA,Deduped
C:\Windows\System32\winevt\logs\Microsoft-Windows-Program-Compatibility-Assistant%4CompatAfterUpgrade.evtx,036FD2B13DE53227E4EFFE7EC975E96DCA0986CA,Deduped
C:\Windows\System32\winevt\logs\Microsoft-Windows-PushNotification-Platform%4Admin.evtx,036FD2B13DE53227E4EFFE7EC975E96DCA0986CA,Deduped
C:\Windows\System32\winevt\logs\Microsoft-Windows-Shell-ConnectedAccountState%4ActionCenter.evtx,036FD2B13DE53227E4EFFE7EC975E96DCA0986CA,Deduped
C:\Windows\System32\winevt\logs\Microsoft-Windows-Shell-Core%4ActionCenter.evtx,036FD2B13DE53227E4EFFE7EC975E96DCA0986CA,Deduped
C:\Windows\System32\winevt\logs\Microsoft-Windows-Shell-Core%4LogonTasksChannel.evtx,036FD2B13DE53227E4EFFE7EC975E96DCA0986CA,Deduped
C:\Windows\System32\winevt\logs\Microsoft-Windows-SmbClient%4Audit.evtx,036FD2B13DE53227E4EFFE7EC975E96DCA0986CA,Deduped
C:\Windows\System32\winevt\logs\Microsoft-Windows-SmbClient%4Security.evtx,036FD2B13DE53227E4EFFE7EC975E96DCA0986CA,Deduped
C:\Windows\System32\winevt\logs\Microsoft-Windows-SMBServer%4Audit.evtx,036FD2B13DE53227E4EFFE7EC975E96DCA0986CA,Deduped
C:\Windows\System32\winevt\logs\Microsoft-Windows-SMBServer%4Connectivity.evtx,036FD2B13DE53227E4EFFE7EC975E96DCA0986CA,Deduped
C:\Windows\System32\winevt\logs\Microsoft-Windows-SMBServer%4Security.evtx,036FD2B13DE53227E4EFFE7EC975E96DCA0986CA,Deduped
C:\Windows\System32\winevt\logs\Microsoft-Windows-StateRepository%4Restricted.evtx,036FD2B13DE53227E4EFFE7EC975E96DCA0986CA,Deduped
C:\Windows\System32\winevt\logs\Microsoft-Windows-StorageSpaces-ManagementAgent%4WHC.evtx,036FD2B13DE53227E4EFFE7EC975E96DCA0986CA,Deduped
C:\Windows\System32\winevt\logs\Microsoft-Windows-UserPnp%4ActionCenter.evtx,036FD2B13DE53227E4EFFE7EC975E96DCA0986CA,Deduped
C:\Windows\System32\winevt\logs\Microsoft-Windows-Windows Defender%4WHC.evtx,036FD2B13DE53227E4EFFE7EC975E96DCA0986CA,Deduped
C:\Windows\System32\winevt\logs\Microsoft-Windows-Windows Firewall With Advanced Security%4ConnectionSecurity.evtx,036FD2B13DE53227E4EFFE7EC975E96DCA0986CA,Deduped
C:\Windows\System32\winevt\logs\Microsoft-Windows-WindowsBackup%4ActionCenter.evtx,036FD2B13DE53227E4EFFE7EC975E96DCA0986CA,Deduped
C:\Windows\System32\winevt\logs\Microsoft-Windows-WinINet-Config%4ProxyConfigChanged.evtx,036FD2B13DE53227E4EFFE7EC975E96DCA0986CA,Deduped
